Signature,Month,count,IntegratedCount,SuppressedCount
"6-25,x-xx",05,5,0,0
"6-25,x-xx",06,6,0,0
"6-25,x-xx",07,12,0,0
"6-25,x-xx",08,12,0,0
"6-31",05,17,0,0
"6-31",06,11,0,0
"6-31",07,14,0,0
"6-31",08,18,0,0
"6-31,x-xx",05,1,0,0
"6-31,x-xx",06,1,0,0
"6-31,x-xx",07,1,0,0
"7-11",05,54,0,0
"7-11",06,62,0,0
"7-11",07,59,0,0
"7-11",08,50,0,0
"7-11,x-xx",05,4,0,0
"7-11,x-xx",06,14,0,0
"7-11,x-xx",07,17,0,0
"7-11,x-xx",08,32,0,0
"7-99",05,5,0,0
"7-99",06,6,0,0
"7-99",07,4,0,0
"7-99",08,4,0,0
"x-xx",05,6444,0,0
"x-xx",06,6127,0,0
"x-xx",07,7348,0,0
"x-xx",08,7610,0,0
