RequestorODS,month,"requestor_supplier","registration_count","retry_count","retry_rate"
A82005,06,EMIS,49,3,"0.061224489795918366"
A82005,07,EMIS,55,6,"0.10909090909090909"
A82005,08,EMIS,51,3,"0.058823529411764705"
A82006,04,EMIS,43,4,"0.09302325581395349"
A82006,05,EMIS,21,5,"0.23809523809523808"
A82006,06,EMIS,27,9,"0.3333333333333333"
A82006,07,EMIS,34,9,"0.2647058823529412"
A82006,08,EMIS,27,1,"0.037037037037037035"
A82007,04,EMIS,27,11,"0.4074074074074074"
A82007,05,EMIS,44,8,"0.18181818181818182"
A82007,06,EMIS,43,10,"0.23255813953488372"
A82007,07,EMIS,39,10,"0.2564102564102564"
A82007,08,EMIS,33,6,"0.18181818181818182"
A82008,04,EMIS,44,4,"0.09090909090909091"
A82008,05,EMIS,51,8,"0.1568627450980392"
A82008,06,EMIS,46,13,"0.2826086956521739"
A82008,07,EMIS,48,5,"0.10416666666666667"
A82008,08,EMIS,53,16,"0.3018867924528302"
A82009,04,EMIS,34,8,"0.23529411764705882"
A82009,05,EMIS,19,4,"0.21052631578947367"
A82009,06,EMIS,28,10,"0.35714285714285715"
A82009,07,EMIS,39,11,"0.28205128205128205"
A82009,08,EMIS,24,3,"0.125"
A82010,04,EMIS,24,7,"0.2916666666666667"
A82010,05,EMIS,26,7,"0.2692307692307692"
A82010,06,EMIS,20,5,"0.25"
A82010,07,EMIS,19,8,"0.42105263157894735"
A82010,08,EMIS,20,7,"0.35"
A82012,04,EMIS,75,15,"0.2"
A82012,05,EMIS,100,26,"0.26"
A82012,06,EMIS,81,14,"0.1728395061728395"
A82012,07,EMIS,113,20,"0.17699115044247787"
A82012,08,EMIS,105,17,"0.1619047619047619"
A82013,04,EMIS,34,7,"0.20588235294117646"
A82013,05,EMIS,37,3,"0.08108108108108109"
A82013,06,EMIS,35,12,"0.34285714285714286"
A82013,07,EMIS,41,8,"0.1951219512195122"
A82013,08,EMIS,36,3,"0.08333333333333333"
A82014,04,EMIS,8,0,0
A82014,05,EMIS,14,4,"0.2857142857142857"
A82014,06,EMIS,26,4,"0.15384615384615385"
A82014,07,EMIS,20,6,"0.3"
A82014,08,EMIS,16,1,"0.0625"
A82015,04,EMIS,25,7,"0.28"
A82015,05,EMIS,18,6,"0.3333333333333333"
A82015,06,EMIS,16,6,"0.375"
A82015,07,EMIS,35,11,"0.3142857142857143"
A82015,08,EMIS,21,10,"0.47619047619047616"
A82016,04,EMIS,197,71,"0.3604060913705584"
A82016,05,EMIS,216,64,"0.2962962962962963"
A82016,06,EMIS,197,54,"0.27411167512690354"
A82016,07,EMIS,238,68,"0.2857142857142857"
A82016,08,EMIS,262,58,"0.22137404580152673"
A82018,04,EMIS,62,16,"0.25806451612903225"
A82018,05,EMIS,67,20,"0.29850746268656714"
A82018,06,EMIS,53,20,"0.37735849056603776"
A82018,07,EMIS,70,29,"0.4142857142857143"
A82018,08,EMIS,64,23,"0.359375"
A82019,04,EMIS,43,12,"0.27906976744186046"
A82019,05,EMIS,29,5,"0.1724137931034483"
A82019,06,EMIS,44,13,"0.29545454545454547"
A82019,07,EMIS,34,7,"0.20588235294117646"
