success,"values(outcomes)","values(traces)"
0,"0-xx 1-30 2-17 2-20 2-21 2-28 2-31 3-12 5-26 6-25 6-31 7-11 7-99 x-xx","0-x-25-6-25 0-x-29-3-12 0-x-29-6-31 0-x-x-0-xx 0-x-x-2-17 0-x-x-2-28 0-x-x-3-12 0-x-x-5-26 0-x-x-6-31 0-x-x-7-11 0-x-x-7-99 0-x-x-x-xx 20-0--8-x-xx 60-0-20-0-xx 60-0-20-2-20 60-0-20-x-xx 60-1-100-1-30 60-1-101-1-30 60-6-0-x-xx 60-6-06-x-xx 60-6-07-x-xx 60-6-10-0-xx 60-6-10-x-xx 60-6-102-0-xx 60-6-102-x-xx 60-6-14-x-xx 60-6-19-0-xx 60-6-19-2-17 60-6-19-2-28 60-6-19-3-12 60-6-19-x-xx 60-6-20-0-xx 60-6-20-2-21 60-6-20-3-12 60-6-20-6-25 60-6-20-6-31 60-6-20-7-11 60-6-20-7-99 60-6-20-x-xx 60-6-205-0-xx 60-6-205-x-xx 60-6-21-2-21 60-6-21-x-xx 60-6-23-0-xx 60-6-23-x-xx 60-6-25-2-20 60-6-25-6-25 60-6-25-6-31 60-6-29-6-31 60-6-30-2-31 60-6-30-x-xx 60-6-506-x-xx 60-6-6-0-xx 60-6-7-0-xx 60-6-99-0-xx 60-6-99-x-xx"
1,"1-0 1-00 2-17 2-28 3-12 5-15 6-25 6-31 7-11 x-xx","0-x-25-1-00 0-x-25-6-25 0-x-29-1-00 0-x-29-6-31 0-x-x-1-0 0-x-x-1-00 0-x-x-2-17 0-x-x-2-28 0-x-x-3-12 0-x-x-5-15 0-x-x-7-11 0-x-x-x-xx 20-0--8-1-00 20-0--8-5-15 20-0--8-x-xx 20-0-x-1-00 20-0-x-x-xx 60-0-20-1-0 60-0-20-1-00 60-0-20-5-15 60-0-20-x-xx 60-6-10-1-0 60-6-10-1-00 60-6-10-x-xx 60-6-19-1-00 60-6-19-5-15 60-6-19-x-xx 60-6-20-1-0 60-6-20-1-00 60-6-20-3-12 60-6-20-5-15 60-6-20-6-31 60-6-20-x-xx 60-6-23-1-00 60-6-24-1-00 60-6-25-1-00 60-6-25-6-25 60-6-29-6-31 60-6-30-1-00 60-6-99-1-00 60-6-99-3-12 60-6-99-5-15 60-6-99-x-xx"
