RequestorODS,From,To,count
C84080,"2019-05-26","2019-06-08",14
C84085,"2019-05-26","2019-06-08",14
C84092,"2019-04-01","2019-05-18",48
C84107,"2019-09-22","2019-09-28",7
C84120,"2019-08-03","2019-09-30",59
C84144,"2019-05-18","2019-08-17",85
C84692,"2019-09-08","2019-09-28",21
C85004,"2019-09-22","2019-09-28",7
C85006,"2019-05-26","2019-06-01",7
C85007,"2019-04-21","2019-05-04",14
C85622,"2019-04-21","2019-05-04",14
C86006,"2019-08-18","2019-08-24",7
C86022,"2019-04-21","2019-05-04",14
C86033,"2019-06-30","2019-07-06",7
C86034,"2019-09-22","2019-09-28",7
C86626,"2019-07-28","2019-08-24",14
C87003,"2019-04-13","2019-07-13",92
C87016,"2019-04-21","2019-05-04",14
C87017,"2019-07-28","2019-08-03",7
C88019,"2019-04-21","2019-05-04",14
C88028,"2019-08-18","2019-08-24",7
C88032,"2019-05-26","2019-06-08",14
C88033,"2019-07-28","2019-08-24",14
C88088,"2019-04-01","2019-04-06",6
C88091,"2019-05-19","2019-06-01",14
D81004,"2019-09-22","2019-09-28",7
D81028,"2019-05-26","2019-06-08",14
D81030,"2019-09-14","2019-09-30",10
D81062,"2019-04-01","2019-04-27",27
D81081,"2019-08-03","2019-09-30",59
D82028,"2019-05-26","2019-06-08",14
D82037,"2019-04-21","2019-05-04",14
D82057,"2019-09-22","2019-09-28",7
D82062,"2019-05-26","2019-06-01",7
D82067,"2019-04-01","2019-04-20",20
D82615,"2019-09-08","2019-09-28",21
D83002,"2019-04-06","2019-06-29",85
D83009,"2019-07-13","2019-09-30",80
D83010,"2019-09-14","2019-09-30",17
D83016,"2019-06-01","2019-09-07",99
D83018,"2019-05-26","2019-06-08",14
D83019,"2019-07-06","2019-09-30",87
D83035,"2019-08-24","2019-09-30",38
D83040,"2019-04-21","2019-09-30",45
D83047,"2019-05-11","2019-07-27",78
D83069,"2019-06-30","2019-07-06",7
D83608,"2019-07-28","2019-09-30",64
E82001,"2019-04-21","2019-05-04",14
E82002,"2019-05-19","2019-06-08",21
E82004,"2019-08-18","2019-08-24",7
E82020,"2019-05-26","2019-06-01",7
E82021,"2019-08-18","2019-08-24",7
E82049,"2019-06-30","2019-07-06",7
E82050,"2019-07-28","2019-08-03",7
E82051,"2019-05-19","2019-06-01",14
E82064,"2019-05-26","2019-06-08",14
E82066,"2019-09-08","2019-09-28",21
E82069,"2019-07-28","2019-08-03",7
E82074,"2019-04-01","2019-09-30",169
E82083,"2019-07-26","2019-07-26",1
E82098,"2019-07-28","2019-08-24",14
E82104,"2019-04-01","2019-04-20",20
E82644,"2019-06-30","2019-07-06",7
E82661,"2019-05-25","2019-08-10",78
E83008,"2019-07-28","2019-08-24",14
E83020,"2019-05-26","2019-06-08",14
E83021,"2019-04-21","2019-05-04",14
E83025,"2019-09-08","2019-09-28",21
E83027,"2019-04-21","2019-05-04",14
E83049,"2019-07-28","2019-08-24",14
E83639,"2019-08-18","2019-08-24",7
E83657,"2019-05-26","2019-06-08",14
E84006,"2019-09-08","2019-09-28",21
E84008,"2019-09-22","2019-09-28",7
E84012,"2019-07-28","2019-08-24",14
E84015,"2019-05-19","2019-06-01",14
E84023,"2019-08-18","2019-08-24",7
E84030,"2019-08-18","2019-08-24",7
E84033,"2019-09-22","2019-09-28",7
E84042,"2019-07-28","2019-08-24",14
E84044,"2019-07-28","2019-08-24",14
E84049,"2019-08-18","2019-08-24",7
E84053,"2019-07-28","2019-08-24",14
E84061,"2019-04-21","2019-05-04",14
E84063,"2019-09-08","2019-09-28",21
E84068,"2019-07-28","2019-08-24",14
E84074,"2019-08-18","2019-08-24",7
E84075,"2019-09-08","2019-09-28",21
E84078,"2019-04-21","2019-05-04",14
E84080,"2019-05-26","2019-06-01",7
E84601,"2019-07-28","2019-08-24",14
E84647,"2019-07-28","2019-08-24",14
E84653,"2019-09-08","2019-09-28",21
E84663,"2019-07-28","2019-08-24",14
E84676,"2019-07-28","2019-08-24",14
E84709,"2019-05-26","2019-06-08",14
E85021,"2019-05-11","2019-08-17",92
E86006,"2019-09-22","2019-09-28",7
E86007,"2019-05-26","2019-06-08",14
E86014,"2019-07-28","2019-08-24",14
E86016,"2019-09-08","2019-09-28",21
E86020,"2019-05-19","2019-06-01",14
E86034,"2019-08-18","2019-08-24",7
E86036,"2019-06-30","2019-07-06",7
E86609,"2019-04-21","2019-05-04",14
E86622,"2019-07-28","2019-08-24",14
E86625,"2019-09-08","2019-09-28",21
E86629,"2019-07-28","2019-08-03",7
F81009,"2019-07-28","2019-08-24",14
F81042,"2019-09-22","2019-09-28",7
F81091,"2019-07-28","2019-08-24",14
F81112,"2019-06-01","2019-09-07",99
F81132,"2019-06-30","2019-07-06",7
F81213,"2019-06-30","2019-07-06",7
F81738,"2019-05-11","2019-07-05",56
F82008,"2019-07-28","2019-08-24",14
F82045,"2019-08-18","2019-08-24",7
F82614,"2019-05-26","2019-06-08",14
F83007,"2019-04-21","2019-05-04",14
F83652,"2019-07-28","2019-08-03",7
F83683,"2019-08-18","2019-08-24",7
F84006,"2019-09-22","2019-09-28",7
F84008,"2019-09-08","2019-09-28",21
F84012,"2019-09-22","2019-09-28",7
F84014,"2019-04-21","2019-05-04",14
F84015,"2019-04-01","2019-04-06",6
F84025,"2019-04-21","2019-05-04",14
F84041,"2019-07-28","2019-08-03",7
F84051,"2019-05-19","2019-06-01",14
F84054,"2019-04-21","2019-05-04",14
F84080,"2019-06-30","2019-07-06",7
F84111,"2019-06-30","2019-07-06",7
F84115,"2019-07-28","2019-08-03",7
F84121,"2019-04-21","2019-05-04",14
F84124,"2019-04-21","2019-05-04",14
F84647,"2019-07-28","2019-08-03",7
F84657,"2019-05-19","2019-06-01",14
F84658,"2019-06-30","2019-07-06",7
F84660,"2019-04-21","2019-05-04",14
F84670,"2019-04-21","2019-05-04",14
F84681,"2019-09-22","2019-09-28",7
F84685,"2019-07-28","2019-08-24",14
F84692,"2019-06-30","2019-07-06",7
F84694,"2019-05-26","2019-06-08",14
F84710,"2019-09-22","2019-09-28",7
F84724,"2019-09-22","2019-09-28",7
F84735,"2019-04-21","2019-05-04",14
F84747,"2019-05-19","2019-06-01",14
F85007,"2019-09-22","2019-09-28",7
F85010,"2019-05-19","2019-06-01",14
F85019,"2019-07-28","2019-08-24",14
F85028,"2019-04-21","2019-05-04",14
F85029,"2019-05-19","2019-06-01",14
F85064,"2019-09-08","2019-09-28",21
F85650,"2019-04-21","2019-05-04",14
F85666,"2019-05-19","2019-06-01",14
F85678,"2019-05-19","2019-06-01",14
F86005,"2019-09-22","2019-09-28",7
F86036,"2019-07-28","2019-08-24",14
F86040,"2019-07-28","2019-08-24",14
F86066,"2019-06-30","2019-07-06",7
F86612,"2019-07-28","2019-08-24",14
F86624,"2019-05-26","2019-06-01",7
F86626,"2019-05-26","2019-06-01",7
F86627,"2019-09-22","2019-09-28",7
F86664,"2019-06-30","2019-07-06",7
F86666,"2019-08-18","2019-08-24",7
F86679,"2019-07-28","2019-08-24",14
F86689,"2019-07-28","2019-08-24",14
F86691,"2019-07-28","2019-08-24",14
F86708,"2019-07-28","2019-08-24",14
G81006,"2019-06-30","2019-07-06",7
G81023,"2019-07-28","2019-08-24",14
G81026,"2019-06-30","2019-07-06",7
G81041,"2019-09-22","2019-09-28",7
G81052,"2019-08-18","2019-08-24",7
G81054,"2019-05-26","2019-06-08",14
G81087,"2019-06-30","2019-07-06",7
G81105,"2019-05-19","2019-06-01",14
G81658,"2019-05-26","2019-06-08",14
G82018,"2019-08-18","2019-08-24",7
G82023,"2019-05-26","2019-06-08",14
G82041,"2019-07-28","2019-08-24",14
G82069,"2019-07-28","2019-08-24",14
G82074,"2019-09-08","2019-09-28",21
G82079,"2019-05-19","2019-06-01",14
G82091,"2019-08-02","2019-08-24",9
G82093,"2019-04-21","2019-05-04",14
G82111,"2019-09-22","2019-09-28",7
G82114,"2019-07-28","2019-08-24",14
G82118,"2019-07-28","2019-08-24",14
G82126,"2019-04-21","2019-05-04",14
G82141,"2019-05-26","2019-06-08",14
G82142,"2019-06-30","2019-07-06",7
G82155,"2019-05-19","2019-06-01",14
G82170,"2019-04-21","2019-05-04",14
G82198,"2019-07-28","2019-08-24",14
G82622,"2019-05-26","2019-06-08",14
G82665,"2019-08-18","2019-08-24",7
G82687,"2019-05-26","2019-06-08",14
G82698,"2019-09-08","2019-09-28",21
G82757,"2019-07-28","2019-08-03",7
G82790,"2019-05-26","2019-06-08",14
G82791,"2019-05-26","2019-06-08",14
G82799,"2019-07-28","2019-08-24",14
G82820,"2019-09-08","2019-09-28",21
G83001,"2019-04-21","2019-05-04",14
G83006,"2019-05-19","2019-06-01",14
G83010,"2019-05-26","2019-06-08",14
G84001,"2019-09-08","2019-09-28",21
G84011,"2019-09-22","2019-09-28",7
G84013,"2019-09-08","2019-09-28",21
G84030,"2019-09-08","2019-09-28",21
G84604,"2019-06-30","2019-07-06",7
G85002,"2019-09-22","2019-09-28",7
G85003,"2019-09-08","2019-09-28",21
G85015,"2019-09-22","2019-09-28",7
G85016,"2019-08-18","2019-08-24",7
G85023,"2019-04-21","2019-05-04",14
G85025,"2019-07-28","2019-08-24",14
G85034,"2019-04-21","2019-05-04",14
G85047,"2019-04-21","2019-05-04",14
G85048,"2019-07-28","2019-08-03",7
G85051,"2019-05-26","2019-06-08",14
G85065,"2019-04-21","2019-05-04",14
G85076,"2019-04-21","2019-05-04",14
G85084,"2019-04-21","2019-05-04",14
G85091,"2019-04-21","2019-05-04",14
G85102,"2019-09-08","2019-09-28",21
G85118,"2019-05-26","2019-06-08",14
G85129,"2019-07-28","2019-08-24",14
G85138,"2019-05-19","2019-06-01",14
G85633,"2019-04-21","2019-05-04",14
G85695,"2019-05-19","2019-06-01",14
G85721,"2019-05-26","2019-06-08",14
G85726,"2019-09-22","2019-09-28",7
G85727,"2019-09-08","2019-09-28",21
H81005,"2019-09-22","2019-09-28",7
H81019,"2019-09-22","2019-09-28",7
H81023,"2019-07-28","2019-08-24",14
H81027,"2019-06-30","2019-07-06",7
H81031,"2019-06-30","2019-07-06",7
H81035,"2019-09-08","2019-09-28",21
H81040,"2019-09-08","2019-09-28",21
H81043,"2019-04-21","2019-05-04",14
H81047,"2019-08-18","2019-08-24",7
H81055,"2019-09-08","2019-09-28",21
H81066,"2019-09-22","2019-09-28",7
H81067,"2019-09-22","2019-09-28",7
H81069,"2019-05-26","2019-06-08",14
H81073,"2019-09-22","2019-09-28",7
H81076,"2019-09-22","2019-09-28",7
H81078,"2019-05-19","2019-06-01",14
H81081,"2019-04-21","2019-05-04",14
H81082,"2019-05-19","2019-06-01",14
H81083,"2019-08-18","2019-08-24",7
H81089,"2019-06-30","2019-07-06",7
H81103,"2019-04-01","2019-04-06",6
H81107,"2019-07-28","2019-08-24",14
H81110,"2019-04-21","2019-05-04",14
H81122,"2019-05-26","2019-06-08",14
H81129,"2019-04-21","2019-05-04",14
H81130,"2019-08-18","2019-08-24",7
H81132,"2019-08-18","2019-08-24",7
H81615,"2019-07-28","2019-08-24",14
H81658,"2019-05-19","2019-06-01",14
H82003,"2019-06-30","2019-07-06",7
H82021,"2019-05-18","2019-09-30",136
H82023,"2019-04-21","2019-05-04",14
H82040,"2019-04-21","2019-05-04",14
H82043,"2019-04-27","2019-07-27",92
H82048,"2019-05-25","2019-08-31",99
H82050,"2019-09-22","2019-09-28",7
H82056,"2019-06-30","2019-07-06",7
H82061,"2019-05-19","2019-06-01",14
H82065,"2019-07-28","2019-08-03",7
H82076,"2019-07-28","2019-08-03",7
H82083,"2019-09-22","2019-09-28",7
H82084,"2019-05-19","2019-06-01",14
H82091,"2019-07-28","2019-08-03",7
H82621,"2019-07-28","2019-08-03",7
H83001,"2019-08-18","2019-08-24",7
H83006,"2019-06-30","2019-07-06",7
H83009,"2019-08-18","2019-08-24",7
H83023,"2019-09-08","2019-09-28",21
H83029,"2019-08-18","2019-08-24",7
H83030,"2019-07-28","2019-08-03",7
