"RequestorODS","RequestTime","ConversationID","RequestErrorDescription","attachment_size_mb","attachment_limit_mb"
"D81043","2020-02-10T19:47:56","3BD80E80-4C3E-11EA-9B6C-0539481154D7","Attachment size : 70936372 is larger than TPP limit : 62914560","67","60"
"E81615","2020-02-10T18:20:04","F5FD0610-4C31-11EA-944E-1712C4FB727D","Attachment size : 72121428 is larger than TPP limit : 62914560","68","60"
"F81041","2020-02-12T13:20:26","6F180950-4D9A-11EA-BDAA-F9D11085B24D","Attachment size : 82859560 is larger than TPP limit : 62914560","79","60"
"E85049","2020-02-13T14:33:04","BFD91C20-4E6D-11EA-A359-23543FA00CD2","Attachment size : 84236688 is larger than TPP limit : 62914560","80","60"
"E85748","2020-02-11T12:25:19","91AAAA80-4CC9-11EA-BAEE-8D011ADB98C0","Attachment size : 93758892 is larger than TPP limit : 62914560","89","60"
"E82041","2020-02-11T11:08:38","DB4682F0-4CBE-11EA-9669-210C512961C1","Attachment size : 93820332 is larger than TPP limit : 62914560","89","60"
"E85124","2020-02-11T12:03:37","8C823300-4CC6-11EA-A109-ABB9B0E486B7","Attachment size : 119097956 is larger than TPP limit : 62914560","113","60"
"E85124","2020-02-13T12:50:02","611A13A0-4E5F-11EA-9CC3-AB398089BF47","Attachment size : 77429612 is larger than TPP limit : 62914560","73","60"
"J81013","2020-02-14T12:45:42","E8826540-4F27-11EA-9211-0D1F4ED5E33D","Attachment size : 104237344 is larger than TPP limit : 62914560","99","60"
"H82033","2020-02-12T15:22:09","70B5CB10-4DAB-11EA-8DE3-9F36CBAAAFB2","Attachment size : 93820332 is larger than TPP limit : 62914560","89","60"
"J81634","2020-02-12T11:44:26","060CA180-4D8D-11EA-A654-51A3047A9A84","Attachment size : 114669292 is larger than TPP limit : 62914560","109","60"
"J82028","2020-02-13T16:07:14","E590A520-4E7A-11EA-AB81-D58519994F80","Attachment size : 76905060 is larger than TPP limit : 62914560","73","60"
"E85127","2020-02-13T14:57:10","1CB44A70-4E71-11EA-BCAE-23E1C0D825D3","Attachment size : 88252332 is larger than TPP limit : 62914560","84","60"
"H82066","2020-02-14T10:23:30","C40A8C60-4F13-11EA-AF99-9BA3A77E38B1","Attachment size : 63139328 is larger than TPP limit : 62914560","60","60"
"H82066","2020-02-14T10:50:38","8F409D40-4F17-11EA-AF99-9BA3A77E38B1","Attachment size : 77394680 is larger than TPP limit : 62914560","73","60"
"G81689","2020-02-14T14:58:02","66F6A8C0-4F3A-11EA-85BA-25FC5E804F04","Attachment size : 63439040 is larger than TPP limit : 62914560","60","60"
"J81041","2020-02-13T09:46:21","B1905E80-4E45-11EA-AEDC-13208DA69CA0","Attachment size : 72211052 is larger than TPP limit : 62914560","68","60"
"H82012","2020-02-12T12:13:20","0E27FDC0-4D91-11EA-9CB1-8D2C35551AE8","Attachment size : 89486136 is larger than TPP limit : 62914560","85","60"
"H82012","2020-02-12T12:28:06","1F97BA30-4D93-11EA-9CB1-8D2C35551AE8","Attachment size : 64107936 is larger than TPP limit : 62914560","61","60"
"H81072","2020-02-11T12:15:35","354843C0-4CC8-11EA-B487-FF4F7FA4EF29","Attachment size : 66925860 is larger than TPP limit : 62914560","63","60"
"K82009","2020-02-12T09:27:20","DE64A1E0-4D79-11EA-A833-CD142EC3108E","Attachment size : 72351588 is larger than TPP limit : 62914560","68","60"
"F86025","2020-02-13T15:23:15","92A17890-4E74-11EA-A16B-B154F5872500","Attachment size : 114669292 is larger than TPP limit : 62914560","109","60"
"K83026","2020-02-14T12:27:00","4D71A860-4F25-11EA-B239-A95709A76F2D","Attachment size : 114883384 is larger than TPP limit : 62914560","109","60"
"J82208","2020-02-11T11:54:25","3FCF25F0-4CC5-11EA-9FFE-8500E7C8EA1C","Attachment size : 65134720 is larger than TPP limit : 62914560","62","60"
"J83008","2020-02-14T10:21:08","B7EEE0C0-4F13-11EA-9B2A-6F40718A02CA","Attachment size : 73890532 is larger than TPP limit : 62914560","70","60"
"M85029","2020-02-12T08:39:47","E9D3C890-4D73-11EA-8CD5-A168DF4FAADF","Attachment size : 72998848 is larger than TPP limit : 62914560","69","60"
"M88004","2020-02-13T09:54:14","CB49CC70-4E46-11EA-993C-27F2CB7756DE","Attachment size : 66279304 is larger than TPP limit : 62914560","63","60"
"M85002","2020-02-11T12:43:31","1D25B030-4CCC-11EA-8519-03704B45DADA","Attachment size : 83395852 is larger than TPP limit : 62914560","79","60"
"L83127","2020-02-08T11:37:28","6265D830-4A67-11EA-B8B8-4594390924AD","Attachment size : 125278092 is larger than TPP limit : 104857600","119","100"
"Y01011","2020-02-12T15:39:11","D05F2A00-4DAD-11EA-A6C4-C1F80ECA864C","Attachment size : 146182312 is larger than TPP limit : 62914560","139","60"
"Y02002","2020-02-14T08:55:33","C1BBD7E0-4F07-11EA-BAAE-6BC931C864DF","Attachment size : 71181932 is larger than TPP limit : 62914560","67","60"
"A81631","2020-02-17T16:24:20","F4742BA0-51A1-11EA-9C93-D9E005124811","Attachment size : 140895164 is larger than TPP limit : 62914560","134","60"
"M83723","2020-02-10T17:50:14","CB845C70-4C2D-11EA-82EE-4DCD440EE9DC","Attachment size : 68007140 is larger than TPP limit : 62914560","64","60"
"Y04957","2020-02-11T10:55:13","EDB8B810-4CBC-11EA-9C1C-C53A52042928","Attachment size : 159988000 is larger than TPP limit : 62914560","152","60"
"A86010","2020-02-17T16:07:14","90B14CD0-519F-11EA-9A6F-7F0094DB96CC","Attachment size : 78403424 is larger than TPP limit : 62914560","74","60"
"A84022","2020-02-17T12:13:16","E165DD60-517E-11EA-A0C7-E1A7E520467D","Attachment size : 81690112 is larger than TPP limit : 62914560","77","60"
"A81042","2020-02-18T14:33:05","936F54F0-525B-11EA-B387-DB80BC41265C","Attachment size : 69881504 is larger than TPP limit : 62914560","66","60"
"A83030","2020-02-17T11:21:09","98EA4730-5177-11EA-B330-E15C534022F9","Attachment size : 88736172 is larger than TPP limit : 62914560","84","60"
"A83641","2020-02-18T12:46:42","B6BE0500-524C-11EA-98C3-15E2BA2EC513","Attachment size : 68300740 is larger than TPP limit : 62914560","65","60"
"Y06007","2020-02-11T09:06:46","D49C07B0-4CAD-11EA-9F6F-578E19F889AF","Attachment size : 93169016 is larger than TPP limit : 62914560","88","60"
"Y03441","2020-02-13T13:57:22","C1ADF570-4E68-11EA-887A-6F6F08B8643C","Attachment size : 80223192 is larger than TPP limit : 62914560","76","60"
"A81046","2020-02-20T14:06:11","27246250-53EA-11EA-830F-4166F447D863","Attachment size : 68116412 is larger than TPP limit : 62914560","64","60"
"B82005","2020-02-18T10:46:07","DD48B820-523B-11EA-89F7-F5F6A71FDE8F","Attachment size : 104691752 is larger than TPP limit : 62914560","99","60"
"B82016","2020-02-21T12:40:13","4E2D3A80-54A7-11EA-AD42-110A27EB6E83","Attachment size : 73247852 is larger than TPP limit : 62914560","69","60"
"A83031","2020-02-20T12:51:23","B4099240-53DF-11EA-AEB1-C1B56E2E3051","Attachment size : 85255092 is larger than TPP limit : 62914560","81","60"
"A87022","2020-02-19T12:41:37","2B802B20-5315-11EA-8FD3-69F2F2530E0D","Attachment size : 73578092 is larger than TPP limit : 62914560","70","60"
"B82054","2020-02-19T14:09:05","6312BCE0-5321-11EA-AB7B-BB7E2C2DC755","Attachment size : 64103228 is larger than TPP limit : 62914560","61","60"
"A81017","2020-02-21T10:54:08","7CEE5DE0-5498-11EA-A37A-07EF54F8F960","Attachment size : 91703028 is larger than TPP limit : 62914560","87","60"
"B86016","2020-02-19T16:16:31","3173EDA0-5333-11EA-A148-476D46D478B8","Attachment size : 71106852 is larger than TPP limit : 62914560","67","60"
"B85659","2020-02-17T17:33:09","9182FE40-51AB-11EA-8962-E144BD90DF73","Attachment size : 125778072 is larger than TPP limit : 62914560","119","60"
"B87006","2020-02-21T14:20:15","47A60DA0-54B5-11EA-9144-41DC05294C61","Attachment size : 104244812 is larger than TPP limit : 62914560","99","60"
"B86678","2020-02-17T14:54:48","707E8C20-5195-11EA-8D53-BF084DA5DD01","Attachment size : 113875120 is larger than TPP limit : 62914560","108","60"
"B86056","2020-02-20T17:48:27","336C35F0-5409-11EA-9E14-0FC03F70D0D7","Attachment size : 91545572 is larger than TPP limit : 62914560","87","60"
"C82119","2020-02-19T12:32:42","EB737D80-5313-11EA-B074-F938437D2227","Attachment size : 78321132 is larger than TPP limit : 62914560","74","60"
"C81066","2020-02-20T10:48:08","7B820B70-53CE-11EA-A889-AFE6A20D3519","Attachment size : 80549292 is larger than TPP limit : 62914560","76","60"
"C81051","2020-02-18T15:17:45","D18B63E0-5261-11EA-B548-4FD086B180D3","Attachment size : 87020704 is larger than TPP limit : 62914560","82","60"
"C87003","2020-02-18T15:24:35","A019F5F0-5262-11EA-AFDA-8B9BA61ECC5E","Attachment size : 86917344 is larger than TPP limit : 62914560","82","60"
"C85017","2020-02-21T17:22:38","C299FFD0-54CE-11EA-9CFA-9744AA45E97B","Attachment size : 62957196 is larger than TPP limit : 62914560","60","60"
"C84695","2020-02-19T17:05:26","02586EE0-533A-11EA-BD3E-35198FF08930","Attachment size : 88419800 is larger than TPP limit : 62914560","84","60"
"C88031","2020-02-21T16:15:14","584EC830-54C5-11EA-BF22-C97DC3FD136C","Attachment size : 73055108 is larger than TPP limit : 62914560","69","60"
"D81043","2020-02-20T18:38:55","401D8DB0-5410-11EA-B92F-07065A5F2FE6","Attachment size : 63829452 is larger than TPP limit : 62914560","60","60"
"C84129","2020-02-18T15:11:27","ECB081B0-5260-11EA-AC47-417062F223B5","Attachment size : 97260444 is larger than TPP limit : 62914560","92","60"
"D82030","2020-02-18T12:12:15","E75A1E60-5247-11EA-BF88-FBC248E2F184","Attachment size : 75106412 is larger than TPP limit : 62914560","71","60"
"D81012","2020-02-17T11:33:16","4A61FD90-5179-11EA-9101-1FE05E86F508","Attachment size : 107399052 is larger than TPP limit : 62914560","102","60"
"C86017","2020-02-19T10:10:02","FE8C5810-52FF-11EA-966D-F509243360ED","Attachment size : 72495212 is larger than TPP limit : 62914560","69","60"
"E81037","2020-02-17T09:43:13","E8F9EA90-5169-11EA-9CE1-F1E8739AFA8F","Attachment size : 72971372 is larger than TPP limit : 62914560","69","60"
"D82026","2020-02-20T16:29:06","1BE2FA00-53FE-11EA-9FF3-99264FB62B4F","Attachment size : 64246136 is larger than TPP limit : 62914560","61","60"
"D82067","2020-02-19T10:54:23","2FBFA760-5306-11EA-9612-F197B37CED50","Attachment size : 67695212 is larger than TPP limit : 62914560","64","60"
"C88009","2020-02-21T14:34:36","49588DB0-54B7-11EA-8EA1-335BC8D4BDAE","Attachment size : 73450060 is larger than TPP limit : 62914560","70","60"
"D83028","2020-02-18T17:41:29","E63D26C0-5275-11EA-AF90-01A6DD5C9AA3","Attachment size : 77780364 is larger than TPP limit : 62914560","74","60"
"D81065","2020-02-17T15:27:16","F9283770-5199-11EA-92A7-253A96E70218","Attachment size : 84209932 is larger than TPP limit : 62914560","80","60"
"D82059","2020-02-20T09:59:33","B1A74C30-53C7-11EA-91F7-7D2A4393D22F","Attachment size : 68231912 is larger than TPP limit : 62914560","65","60"
"E85124","2020-02-16T14:47:12","3F058150-50CB-11EA-A4CE-A31F725CD35D","Attachment size : 80549292 is larger than TPP limit : 62914560","76","60"
"E85745","2020-02-20T09:00:10","67AA3B90-53BF-11EA-A41E-FF71EFEDBBFB","Attachment size : 74787096 is larger than TPP limit : 62914560","71","60"
"F81105","2020-02-17T16:25:54","2BEF8250-51A2-11EA-8B5E-3D587F112FDE","Attachment size : 97078620 is larger than TPP limit : 62914560","92","60"
"F81665","2020-02-17T17:55:50","17A298C0-51AF-11EA-AE2A-459E46D66B2A","Attachment size : 109568688 is larger than TPP limit : 62914560","104","60"
"F81049","2020-02-21T11:40:40","2ECC0FC0-549F-11EA-A779-432EA7155EE3","Attachment size : 83756812 is larger than TPP limit : 62914560","79","60"
"G81689","2020-02-18T16:06:53","AEB93070-5268-11EA-B481-AF1F51C43954","Attachment size : 96154836 is larger than TPP limit : 62914560","91","60"
"H82060","2020-02-18T11:50:00","CB790060-5244-11EA-A182-9B10B8BD4E52","Attachment size : 98571568 is larger than TPP limit : 62914560","94","60"
"G81018","2020-02-18T14:31:10","4F701AF0-525B-11EA-BE80-05DEACF0F6A6","Attachment size : 83518732 is larger than TPP limit : 62914560","79","60"
"K83026","2020-02-20T10:41:11","82E41C10-53CD-11EA-A2AA-911182193F9C","Attachment size : 114845932 is larger than TPP limit : 62914560","109","60"
"K83010","2020-02-18T14:28:16","C2379BE0-525A-11EA-97C6-E75A53213884","Attachment size : 83395852 is larger than TPP limit : 62914560","79","60"
"K82039","2020-02-21T13:09:06","BC5A5980-54AB-11EA-94FD-B1A315DB8AD9","Attachment size : 68834660 is larger than TPP limit : 62914560","65","60"
"J82001","2020-02-19T09:38:30","975FD350-52FB-11EA-B8CF-A58A086872D4","Attachment size : 95725824 is larger than TPP limit : 62914560","91","60"
"J81034","2020-02-17T16:04:28","2E0EE740-519F-11EA-8254-9D915B627F72","Attachment size : 134624384 is larger than TPP limit : 62914560","128","60"
"J83010","2020-02-19T09:53:23","ABE58250-52FD-11EA-876F-2F6B2968335B","Attachment size : 160254084 is larger than TPP limit : 62914560","152","60"
"M88013","2020-02-18T08:46:08","1B758760-522B-11EA-9752-610FD3E9B36D","Attachment size : 63661016 is larger than TPP limit : 62914560","60","60"
"L83127","2020-02-18T15:00:24","653CB6F0-525F-11EA-AEF8-BF05D7AEC9CB","Attachment size : 73286252 is larger than TPP limit : 62914560","69","60"
"L81059","2020-02-19T13:52:45","1BF8C040-531F-11EA-AF6B-912C9DD11912","Attachment size : 73194092 is larger than TPP limit : 62914560","69","60"
"M88616","2020-02-19T10:55:45","62326340-5306-11EA-BA9D-8B2AAA60B42B","Attachment size : 129201956 is larger than TPP limit : 62914560","123","60"
"M89001","2020-02-17T13:17:21","D54DC520-5187-11EA-A6F2-EF5C34751C20","Attachment size : 125093772 is larger than TPP limit : 62914560","119","60"
"M88018","2020-02-18T16:28:44","BC4E0730-526B-11EA-A048-A9F081116F80","Attachment size : 68694544 is larger than TPP limit : 62914560","65","60"
"M88019","2020-02-17T15:50:46","42E12C70-519D-11EA-92CA-E957210B6B04","Attachment size : 64103228 is larger than TPP limit : 62914560","61","60"
"M88640","2020-02-17T08:48:06","37D4A8B0-5162-11EA-8BAA-4FB71F4B6614","Attachment size : 72917612 is larger than TPP limit : 62914560","69","60"
"M88640","2020-02-18T17:27:02","E0DE1970-5273-11EA-8800-ABF6617BC0B6","Attachment size : 81522696 is larger than TPP limit : 62914560","77","60"
"Y00297","2020-02-18T15:56:29","3A718A10-5267-11EA-86AF-3506E8675E16","Attachment size : 72981288 is larger than TPP limit : 62914560","69","60"
"P92016","2020-02-17T08:54:42","2452F4D0-5163-11EA-A671-319090733DAD","Attachment size : 64284660 is larger than TPP limit : 62914560","61","60"
"Y06443","2020-02-19T13:15:06","D737FD40-5319-11EA-B0C5-9B08F81BA3B8","Attachment size : 92586032 is larger than TPP limit : 62914560","88","60"
"Y02639","2020-02-18T19:19:49","A2AF6AE0-5283-11EA-B32B-E90104B2F6CD","Attachment size : 66865840 is larger than TPP limit : 62914560","63","60"
"A86036","2020-02-24T12:48:48","00E6C1B0-5704-11EA-8EF4-C9B449FA4B5E","Attachment size : 151518096 is larger than TPP limit : 62914560","144","60"
"B82012","2020-02-24T13:20:59","7F11F6A0-5708-11EA-9ACC-7FC4A092C9F4","Attachment size : 120202372 is larger than TPP limit : 62914560","114","60"
"B81027","2020-02-24T18:01:14","A640DE90-572F-11EA-BF3A-8568D0334F42","Attachment size : 63015372 is larger than TPP limit : 62914560","60","60"
"B81027","2020-02-24T18:09:13","C43D4D60-5730-11EA-BF3A-8568D0334F42","Attachment size : 79972736 is larger than TPP limit : 62914560","76","60"
"B81015","2020-02-24T15:56:14","304B2D50-571E-11EA-ACCF-F7DBBA48C56A","Attachment size : 64146016 is larger than TPP limit : 62914560","61","60"
"B82088","2020-02-28T15:39:50","8F33B9C0-5A40-11EA-BF65-05F863866037","Attachment size : 146167696 is larger than TPP limit : 62914560","139","60"
"B83018","2020-02-24T14:06:32","DD6FC5F0-570E-11EA-A2A6-8B4CC5EE8DAB","Attachment size : 82741152 is larger than TPP limit : 62914560","78","60"
"B86025","2020-02-26T08:41:17","C262CE40-5873-11EA-9AFF-DF6BAE7385B7","Attachment size : 83090104 is larger than TPP limit : 62914560","79","60"
